defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,defect_month
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,2024-01
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,2024-02
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,2024-03
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,2024-05
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,2024-01
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,2024-04
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,2024-01
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,2024-04
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,2024-01
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,2024-01
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,2024-04
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,2024-03
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,2024-03
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,2024-06
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,2024-04
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,2024-02
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,2024-03
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,2024-03
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,2024-02
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,2024-05
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,2024-03
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,2024-06
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,2024-04
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,2024-05
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,2024-04
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,2024-03
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,2024-02
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,2024-02
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2024-02
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,2024-04
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,2024-03
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,2024-06
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,2024-04
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,2024-01
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,2024-03
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,2024-05
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,2024-06
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,2024-01
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,2024-04
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,2024-04
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,2024-01
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,2024-01
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,2024-03
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,2024-06
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,2024-01
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,2024-01
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,2024-05
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,2024-01
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,2024-05
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,2024-05
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,2024-01
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,2024-05
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,2024-05
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03,2024-05
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11,2024-02
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39,2024-01
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51,2024-04
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76,2024-05
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27,2024-02
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97,2024-01
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41,2024-06
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62,2024-06
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03,2024-05
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05,2024-04
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22,2024-01
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23,2024-03
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22,2024-05
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64,2024-02
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49,2024-03
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76,2024-01
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15,2024-01
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6,2024-04
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25,2024-01
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83,2024-02
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80.0,2024-01
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31,2024-02
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63,2024-02
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33,2024-01
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92,2024-03
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77,2024-04
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28,2024-06
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56,2024-02
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46,2024-06
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03,2024-01
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07,2024-03
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71,2024-05
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21,2024-03
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13,2024-02
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23,2024-06
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7,2024-05
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27,2024-04
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54,2024-01
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38,2024-04
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36,2024-01
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88,2024-05
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04,2024-04
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33,2024-01
205,17,Structural,2024-05-28,Component,Critical,Automated Testing,824.37,2024-05
206,59,Functional,2024-05-29,Surface,Minor,Manual Testing,303.59,2024-05
207,69,Functional,2024-04-22,Internal,Critical,Automated Testing,793.3,2024-04
208,22,Functional,2024-01-31,Surface,Critical,Manual Testing,929.05,2024-01
209,76,Functional,2024-05-20,Internal,Moderate,Manual Testing,473.36,2024-05
210,59,Functional,2024-01-25,Surface,Minor,Automated Testing,478.17,2024-01
211,61,Structural,2024-03-12,Component,Critical,Manual Testing,430.49,2024-03
212,69,Functional,2024-05-07,Surface,Moderate,Automated Testing,460.93,2024-05
213,75,Cosmetic,2024-01-30,Internal,Moderate,Visual Inspection,917.3,2024-01
214,42,Structural,2024-01-02,Surface,Minor,Manual Testing,520.21,2024-01
215,38,Functional,2024-01-07,Internal,Critical,Manual Testing,575.58,2024-01
216,5,Structural,2024-01-13,Internal,Moderate,Visual Inspection,296.41,2024-01
217,10,Cosmetic,2024-05-28,Surface,Critical,Automated Testing,622.98,2024-05
218,21,Functional,2024-05-10,Internal,Critical,Visual Inspection,484.08,2024-05
219,92,Cosmetic,2024-04-26,Component,Critical,Manual Testing,479.31,2024-04
220,29,Functional,2024-04-05,Surface,Minor,Manual Testing,624.22,2024-04
221,49,Functional,2024-06-11,Component,Critical,Manual Testing,777.18,2024-06
222,28,Functional,2024-02-12,Component,Critical,Automated Testing,842.93,2024-02
223,87,Cosmetic,2024-01-26,Surface,Critical,Manual Testing,974.99,2024-01
224,51,Functional,2024-04-24,Component,Critical,Manual Testing,989.81,2024-04
225,64,Structural,2024-04-23,Component,Moderate,Visual Inspection,484.04,2024-04
226,77,Cosmetic,2024-06-04,Internal,Minor,Automated Testing,38.39,2024-06
227,23,Functional,2024-06-23,Surface,Minor,Visual Inspection,334.53,2024-06
228,89,Functional,2024-02-04,Component,Moderate,Manual Testing,580.74,2024-02
229,30,Functional,2024-03-24,Surface,Critical,Manual Testing,638.28,2024-03
230,88,Structural,2024-01-28,Component,Minor,Manual Testing,727.86,2024-01
231,47,Structural,2024-03-11,Internal,Moderate,Manual Testing,117.74,2024-03
232,74,Functional,2024-05-25,Component,Critical,Automated Testing,891.94,2024-05
233,53,Structural,2024-03-17,Surface,Minor,Visual Inspection,440.58,2024-03
234,39,Structural,2024-02-17,Internal,Minor,Automated Testing,310.96,2024-02
235,4,Cosmetic,2024-01-28,Internal,Critical,Manual Testing,430.74,2024-01
236,29,Cosmetic,2024-05-05,Surface,Minor,Automated Testing,47.99,2024-05
237,31,Cosmetic,2024-06-30,Component,Moderate,Visual Inspection,728.13,2024-06
238,75,Structural,2024-02-06,Component,Critical,Visual Inspection,890.35,2024-02
239,88,Functional,2024-03-12,Surface,Minor,Manual Testing,356.55,2024-03
240,14,Structural,2024-05-04,Internal,Moderate,Visual Inspection,271.51,2024-05
241,80,Structural,2024-03-19,Surface,Minor,Manual Testing,288.31,2024-03
242,13,Functional,2024-02-08,Component,Critical,Automated Testing,663.49,2024-02
243,5,Functional,2024-06-18,Internal,Moderate,Manual Testing,711.77,2024-06
244,67,Structural,2024-06-04,Surface,Moderate,Visual Inspection,822.12,2024-06
245,35,Cosmetic,2024-05-27,Component,Critical,Visual Inspection,889.52,2024-05
246,81,Structural,2024-03-30,Surface,Minor,Automated Testing,471.55,2024-03
247,24,Cosmetic,2024-04-22,Internal,Critical,Automated Testing,136.69,2024-04
248,65,Structural,2024-03-27,Component,Minor,Automated Testing,148.61,2024-03
249,13,Structural,2024-05-16,Surface,Moderate,Manual Testing,768.39,2024-05
250,65,Cosmetic,2024-06-07,Component,Moderate,Manual Testing,545.52,2024-06
251,33,Structural,2024-01-29,Component,Moderate,Automated Testing,978.58,2024-01
252,92,Cosmetic,2024-05-16,Internal,Critical,Visual Inspection,62.59,2024-05
253,25,Functional,2024-05-01,Component,Minor,Automated Testing,146.53,2024-05
254,33,Functional,2024-05-02,Surface,Minor,Automated Testing,168.3,2024-05
255,63,Cosmetic,2024-01-02,Internal,Critical,Manual Testing,225.2,2024-01
256,23,Structural,2024-06-18,Surface,Minor,Manual Testing,875.37,2024-06
257,47,Structural,2024-06-03,Surface,Minor,Manual Testing,772.77,2024-06
258,78,Structural,2024-05-07,Component,Minor,Automated Testing,617.12,2024-05
259,74,Functional,2024-03-20,Surface,Moderate,Manual Testing,900.61,2024-03
260,70,Structural,2024-03-03,Surface,Minor,Manual Testing,159.25,2024-03
261,59,Functional,2024-03-02,Internal,Minor,Manual Testing,16.62,2024-03
262,77,Functional,2024-02-25,Surface,Minor,Automated Testing,906.96,2024-02
263,96,Functional,2024-05-03,Internal,Minor,Manual Testing,446.61,2024-05
264,39,Structural,2024-01-29,Surface,Minor,Manual Testing,406.06,2024-01
265,54,Structural,2024-06-08,Component,Minor,Automated Testing,286.25,2024-06
266,74,Structural,2024-06-22,Surface,Critical,Manual Testing,319.6,2024-06
267,57,Functional,2024-06-04,Surface,Moderate,Manual Testing,798.16,2024-06
268,48,Functional,2024-01-05,Component,Critical,Manual Testing,674.23,2024-01
269,99,Cosmetic,2024-03-09,Component,Minor,Manual Testing,940.48,2024-03
270,71,Functional,2024-04-05,Internal,Critical,Visual Inspection,42.63,2024-04
271,37,Cosmetic,2024-06-26,Surface,Critical,Automated Testing,433.02,2024-06
272,65,Structural,2024-04-09,Internal,Minor,Manual Testing,606.91,2024-04
273,94,Structural,2024-06-15,Surface,Moderate,Automated Testing,129.41,2024-06
274,83,Cosmetic,2024-02-05,Surface,Critical,Manual Testing,444.1,2024-02
275,71,Functional,2024-05-29,Surface,Moderate,Manual Testing,634.26,2024-05
276,46,Cosmetic,2024-01-13,Surface,Moderate,Manual Testing,672.89,2024-01
277,56,Functional,2024-05-22,Internal,Minor,Visual Inspection,557.67,2024-05
278,34,Functional,2024-06-22,Internal,Minor,Manual Testing,272.53,2024-06
279,19,Structural,2024-02-17,Internal,Minor,Visual Inspection,503.24,2024-02
280,27,Functional,2024-04-23,Surface,Critical,Visual Inspection,611.37,2024-04
281,69,Cosmetic,2024-01-24,Surface,Minor,Visual Inspection,501.54,2024-01
282,90,Structural,2024-05-20,Surface,Minor,Manual Testing,290.23,2024-05
283,63,Cosmetic,2024-01-30,Internal,Moderate,Manual Testing,195.84,2024-01
284,86,Structural,2024-04-09,Internal,Moderate,Visual Inspection,88.05,2024-04
285,82,Structural,2024-05-17,Surface,Critical,Manual Testing,97.99,2024-05
286,65,Structural,2024-06-19,Internal,Critical,Visual Inspection,349.24,2024-06
287,14,Structural,2024-01-31,Internal,Critical,Manual Testing,421.51,2024-01
288,48,Structural,2024-05-26,Internal,Critical,Manual Testing,422.77,2024-05
289,61,Structural,2024-02-07,Internal,Minor,Automated Testing,925.03,2024-02
290,35,Structural,2024-02-27,Internal,Minor,Automated Testing,319.58,2024-02
291,67,Functional,2024-04-22,Surface,Moderate,Automated Testing,556.42,2024-04
292,16,Structural,2024-02-04,Surface,Minor,Automated Testing,818.54,2024-02
293,44,Structural,2024-01-02,Internal,Moderate,Automated Testing,320.62,2024-01
294,80,Cosmetic,2024-03-31,Internal,Moderate,Manual Testing,178.82,2024-03
295,83,Structural,2024-02-29,Surface,Critical,Manual Testing,237.65,2024-02
296,93,Structural,2024-03-14,Component,Moderate,Manual Testing,658.16,2024-03
297,43,Structural,2024-01-23,Surface,Minor,Visual Inspection,326.58,2024-01
298,87,Cosmetic,2024-02-14,Surface,Minor,Manual Testing,301.61,2024-02
299,56,Cosmetic,2024-05-26,Surface,Minor,Visual Inspection,357.56,2024-05
300,3,Functional,2024-04-26,Internal,Critical,Manual Testing,358.21,2024-04
301,22,Structural,2024-05-03,Surface,Moderate,Manual Testing,89.91,2024-05
302,85,Cosmetic,2024-05-06,Internal,Minor,Automated Testing,18.42,2024-05
303,80,Functional,2024-04-25,Component,Moderate,Visual Inspection,294.31,2024-04
304,17,Functional,2024-04-24,Internal,Minor,Visual Inspection,865.96,2024-04
305,35,Cosmetic,2024-06-12,Component,Minor,Visual Inspection,578.28,2024-06
306,39,Structural,2024-02-13,Surface,Critical,Visual Inspection,495.87,2024-02
307,30,Functional,2024-06-19,Component,Minor,Visual Inspection,728.39,2024-06
308,47,Cosmetic,2024-01-08,Component,Minor,Manual Testing,949.72,2024-01
309,24,Structural,2024-03-23,Component,Moderate,Manual Testing,56.12,2024-03
310,76,Structural,2024-05-26,Component,Moderate,Automated Testing,56.35,2024-05
311,38,Structural,2024-04-08,Internal,Minor,Manual Testing,651.35,2024-04
312,47,Cosmetic,2024-02-23,Component,Minor,Manual Testing,471.27,2024-02
313,82,Cosmetic,2024-05-29,Surface,Moderate,Visual Inspection,732.6,2024-05
314,36,Cosmetic,2024-02-19,Component,Minor,Automated Testing,865.3,2024-02
315,40,Functional,2024-01-15,Internal,Minor,Automated Testing,49.2,2024-01
316,28,Cosmetic,2024-06-09,Surface,Critical,Manual Testing,567.72,2024-06
317,31,Cosmetic,2024-01-09,Surface,Moderate,Visual Inspection,490.53,2024-01
318,34,Functional,2024-03-03,Component,Minor,Manual Testing,11.38,2024-03
319,56,Functional,2024-02-23,Component,Moderate,Visual Inspection,409.72,2024-02
320,45,Functional,2024-01-05,Component,Minor,Visual Inspection,515.07,2024-01
321,32,Structural,2024-06-06,Component,Moderate,Visual Inspection,42.44,2024-06
322,54,Functional,2024-05-30,Internal,Critical,Automated Testing,883.58,2024-05
323,44,Structural,2024-06-08,Internal,Minor,Automated Testing,624.98,2024-06
324,97,Functional,2024-04-06,Component,Minor,Manual Testing,195.74,2024-04
325,15,Functional,2024-04-15,Internal,Moderate,Manual Testing,241.22,2024-04
326,97,Cosmetic,2024-04-29,Component,Minor,Manual Testing,441.18,2024-04
327,17,Structural,2024-04-01,Component,Critical,Manual Testing,274.09,2024-04
328,91,Functional,2024-06-08,Surface,Moderate,Visual Inspection,268.52,2024-06
329,92,Structural,2024-01-02,Component,Critical,Automated Testing,170.44,2024-01
330,72,Functional,2024-03-01,Component,Moderate,Automated Testing,386.43,2024-03
331,74,Functional,2024-03-01,Surface,Minor,Manual Testing,970.98,2024-03
332,7,Functional,2024-05-16,Component,Minor,Automated Testing,751.73,2024-05
333,24,Functional,2024-04-22,Component,Minor,Automated Testing,285.85,2024-04
334,10,Structural,2024-03-15,Internal,Critical,Manual Testing,478.75,2024-03
335,26,Cosmetic,2024-02-29,Surface,Minor,Automated Testing,884.79,2024-02
336,92,Cosmetic,2024-04-13,Surface,Moderate,Automated Testing,44.73,2024-04
337,68,Cosmetic,2024-05-24,Component,Minor,Automated Testing,952.79,2024-05
338,31,Cosmetic,2024-01-03,Component,Moderate,Manual Testing,959.59,2024-01
339,41,Structural,2024-02-15,Component,Moderate,Visual Inspection,312.25,2024-02
340,95,Cosmetic,2024-06-23,Component,Minor,Visual Inspection,658.47,2024-06
341,17,Functional,2024-05-03,Surface,Minor,Manual Testing,243.25,2024-05
342,4,Cosmetic,2024-05-24,Internal,Moderate,Automated Testing,199.65,2024-05
343,96,Functional,2024-01-30,Component,Minor,Visual Inspection,471.43,2024-01
344,81,Functional,2024-02-06,Component,Moderate,Visual Inspection,756.85,2024-02
345,61,Structural,2024-05-31,Internal,Critical,Visual Inspection,369.06,2024-05
346,97,Cosmetic,2024-06-14,Surface,Minor,Manual Testing,326.19,2024-06
